"scientific","rgn_id","id","year","area_km2","category","trend"
"""Arctocephalus gazella (Peters, 1875)""",32,3702,2009,65.7,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,298,2008,212.3,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",36,56,2008,81.8,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,178,2008,223.7,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,61,2008,209.5,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",36,170,2008,222.3,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,174,2008,190.1,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,191,2008,12.3,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,173,2008,194.9,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,67,2008,143.6,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,294,2008,224.5,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,528,2008,220.2,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",36,55,2008,44.6,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,295,2008,224.3,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,419,2008,224.5,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,183,2008,183.4,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",34,3828,2016,2.5,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,177,2008,224.5,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,175,2008,207.3,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,406,2008,187.8,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,185,2008,199.4,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",36,58,2008,135.3,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,62,2008,223.5,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,60,2008,94.9,0,-0.5
"""Arctocephalus tropicalis (J.E.Gray, 1872)""",23,2128,2015,149.6,0,-0.5
"""Arctocephalus tropicalis (J.E.Gray, 1872)""",27,814,2015,193.9,0,-0.5
"""Ardenna creatopus (Coues, 1864)""",33,1246,2021,114,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,2050,2021,150.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",4,1933,2021,124,0.6,0
"""Ardenna creatopus (Coues, 1864)""",4,1932,2021,200.3,0.6,0
"""Ardenna creatopus (Coues, 1864)""",29,1825,2021,53.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",21,1930,2021,79.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",21,2045,2021,126.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",21,1931,2020,139.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,1936,2020,196.3,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,2049,2021,85.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",14,2047,2021,115.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,1610,2021,145.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",1,1594,2021,96,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,1935,2020,188.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",3,4851,2020,140.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,276,2020,224.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",27,1492,2020,194.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,157,2020,219.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,841,2020,217.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,1939,2020,167.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",29,1598,2020,159.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",28,1708,2020,224.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",33,1358,2020,175.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,731,2020,149.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",25,1247,2020,38.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",16,1252,2020,176.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",25,1600,2021,155.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",14,2158,2020,27.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",13,1383,2020,133.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",14,2048,2020,167.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",27,1491,2020,220.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,1828,2020,201.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,1501,2020,190.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",18,60,2019,94.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",29,1824,2019,64.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,2048,2019,56.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",4,1594,2019,82.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,1499,2019,184,0.6,0
"""Ardenna creatopus (Coues, 1864)""",13,1382,2019,142.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",17,1254,2020,76,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,268,2019,55.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",14,2160,2019,119.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,1723,2018,144.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,158,2018,168.3,0.6,0
"""Ardenna creatopus (Coues, 1864)""",27,1605,2018,160.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,824,2018,218.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,602,2018,222.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",13,1495,2018,205.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",1,1254,2018,78.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",27,1489,2018,64.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,1940,2018,222.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,1164,2017,25.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,614,2017,224.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,45,2017,191.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1393,2017,96.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,44,2017,100.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,501,2017,224.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,274,2017,224.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",29,1712,2017,129.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",4,1820,2017,154.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",13,1606,2017,197.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",4,1707,2017,156.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",27,1490,2017,176.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",25,1713,2017,192.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",13,1493,2017,224.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,503,2017,224.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,845,2017,97.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",1,1368,2017,115,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,1715,2016,33.3,0.6,0
"""Ardenna creatopus (Coues, 1864)""",5,1486,2016,26.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",33,1359,2016,197.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",25,1601,2016,196.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",27,816,2016,170.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1391,2015,89.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,492,2015,189.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,1071,2015,77,0.6,0
"""Ardenna creatopus (Coues, 1864)""",13,1608,2015,157.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,1500,2015,180.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1050,2015,7.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",13,1609,2015,135.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,1389,2015,144.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1845,2014,58.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,2161,2013,60.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",36,730,2013,218.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1504,2013,143,0.6,0
"""Ardenna creatopus (Coues, 1864)""",4,1706,2013,107.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",27,1715,2013,134.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1731,2011,37.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,717,2011,199.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1957,2010,50,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1392,2010,165.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,1051,2010,94.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",18,179,2010,218.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,828,2009,167.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,486,2008,224.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",3,3720,2007,66.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",28,1822,2005,222,0.6,0
"""Ardenna creatopus (Coues, 1864)""",8,1502,2005,143.1,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,1827,2001,220.4,0.6,0
"""Ardenna creatopus (Coues, 1864)""",13,1607,2001,199.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,1938,2020,199.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",30,1360,2020,75,0.6,0
"""Ardenna creatopus (Coues, 1864)""",16,1140,2020,23.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",6,2053,2020,45.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",21,1819,2020,11.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",3,4518,2020,215.3,0.6,0
"""Ardenna creatopus (Coues, 1864)""",14,1934,2020,203.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",4,1931,2020,43,0.6,0
"""Ardenna creatopus (Coues, 1864)""",1,1255,2020,26.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",4,2046,2020,21.8,0.6,0
"""Ardenna creatopus (Coues, 1864)""",17,1140,2020,46.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,713,2020,185.9,0.6,0
"""Ardenna creatopus (Coues, 1864)""",28,1595,2020,145.6,0.6,0
"""Ardenna creatopus (Coues, 1864)""",18,180,2020,224.5,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,156,2020,189.2,0.6,0
"""Ardenna creatopus (Coues, 1864)""",18,532,2020,219.7,0.6,0
"""Ardenna creatopus (Coues, 1864)""",2,827,2020,223,0.6,0
"""Ardenna creatopus (Coues, 1864)""",14,2275,2019,51.1,0.6,0
"""Balaenoptera acutorostrata Lac├®p├¿de, 1804""",3,4624,2016,48,0,0
"""Balaenoptera acutorostrata Lac├®p├¿de, 1804""",3,4737,2022,116.9,0,0
"""Balaenoptera acutorostrata Lac├®p├¿de, 1804""",3,4739,2001,123.1,0,0
"""Balaenoptera acutorostrata Lac├®p├¿de, 1804""",21,1930,2009,79.4,0,0
"""Balaenoptera acutorostrata Lac├®p├¿de, 1804""",1,1368,2011,115,0,0
"""Balaenoptera acutorostrata Lac├®p├¿de, 1804""",3,4398,2004,35.6,0,0
"""Balaenoptera acutorostrata Lac├®p├¿de, 1804""",3,4400,2004,120,0,0
"""Balaenoptera borealis Lesson, 1828""",23,2803,2020,72.4,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",3,4631,2020,205,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",23,2915,2020,216,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",3,4398,2020,35.6,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",23,2916,2015,156.3,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",3,4510,2021,58.4,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",32,3589,2019,42,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",23,2128,2020,149.6,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",3,4851,2017,140.2,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",18,635,2015,110,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",3,4856,2018,222.2,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",3,4284,2012,52,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",3,5078,2019,156.2,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",27,1039,2018,179.5,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",23,2804,2018,119.9,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",3,3494,2018,45.9,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",23,2807,2019,189.7,0.8,0.5
"""Balaenoptera borealis Lesson, 1828""",19,3029,2018,208.8,0.8,0.5
"""Balaenoptera borealis schlegelii (Flower, 1865)""",3,5078,2017,156.2,0.8,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",2,491,2020,224.5,0.6,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",1,1143,2017,199.2,0.6,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",32,3702,2018,65.7,0.6,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",2,269,2019,223.1,0.6,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",27,1604,2016,200.9,0.6,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",13,1382,2011,142.1,0.6,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",17,1254,2017,76,0.6,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",8,1721,2016,94.2,0.6,0.5
"""Balaenoptera musculus (Linnaeus, 1758)""",8,1502,2019,143.1,0.6,0.5
"""Balaenoptera physalus (Linnaeus, 1758)""",4,2046,2019,21.8,0.8,0.5
"""Balaenoptera physalus (Linnaeus, 1758)""",4,1933,2019,124,0.8,0.5
"""Balaenoptera physalus (Linnaeus, 1758)""",3,4852,2019,201.2,0.8,0.5
"""Balaenoptera physalus (Linnaeus, 1758)""",2,379,2019,170.2,0.8,0.5
"""Campylonotus vagans Spence Bate, 1888""",3,3945,2018,72.9,0,0
"""Campylonotus vagans Spence Bate, 1888""",21,1818,2012,39.3,0,0
"""Campylonotus vagans Spence Bate, 1888""",18,532,2019,219.7,0,0
"""Campylonotus vagans Spence Bate, 1888""",8,1273,2002,124.8,0,0
"""Campylonotus vagans Spence Bate, 1888""",4,1932,2013,200.3,0,0
"""Campylonotus vagans Spence Bate, 1888""",2,1051,2002,94.2,0,0
"""Campylonotus vagans Spence Bate, 1888""",8,1612,2002,218.7,0,0
"""Campylonotus vagans Spence Bate, 1888""",2,1166,2002,50.4,0,0
"""Campylonotus vagans Spence Bate, 1888""",27,929,2002,201.4,0,0
"""Campylonotus vagans Spence Bate, 1888""",13,1267,2001,190.4,0,0
"""Campylonotus vagans Spence Bate, 1888""",3,4966,2010,222.9,0,0
"""Campylonotus vagans Spence Bate, 1888""",29,1711,2011,200.1,0,0
"""Campylonotus vagans Spence Bate, 1888""",34,3603,2010,43.7,0,0
"""Desmophyllum dianthus (Esper, 1794)""",6,2276,2012,21.1,0.2,0
"""Desmophyllum dianthus (Esper, 1794)""",4,1707,2013,156.7,0.2,0
"""Desmophyllum dianthus (Esper, 1794)""",14,2276,2013,28.7,0.2,0
"""Desmophyllum dianthus (Esper, 1794)""",4,1932,2013,200.3,0.2,0
"""Errina antarctica (Gray, 1872)""",36,1184,2014,88.8,0.6,0
"""Eubalaena australis (Desmoulins, 1822)""",2,1063,2021,141.7,0.6,0
"""Haematopus palliatus Temminck, 1820""",14,2273,2021,33.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",27,1153,2020,218.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",23,2915,2020,216,0.2,0
"""Haematopus palliatus Temminck, 1820""",21,1931,2020,139.9,0.2,0
"""Haematopus palliatus Temminck, 1820""",14,2161,2019,69.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",25,1487,2021,35.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",17,1366,2021,134.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",4,1933,2020,124,0.2,0
"""Haematopus palliatus Temminck, 1820""",1,1143,2021,199.2,0.2,0
"""Haematopus palliatus Temminck, 1820""",7,1374,2020,3.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",4,1820,2020,154.9,0.2,0
"""Haematopus palliatus Temminck, 1820""",23,2806,2021,136.6,0.2,0
"""Haematopus palliatus Temminck, 1820""",20,4041,2020,218,0.2,0
"""Haematopus palliatus Temminck, 1820""",25,1375,2019,9.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",4,1594,2021,82.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",10,1484,2020,27.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,2050,2021,150.6,0.2,0
"""Haematopus palliatus Temminck, 1820""",30,1360,2020,75,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,1936,2020,196.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,2049,2021,85.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",14,2047,2020,115.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",14,2046,2020,84.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",1,1142,2020,207.9,0.2,0
"""Haematopus palliatus Temminck, 1820""",14,1933,2020,81,0.2,0
"""Haematopus palliatus Temminck, 1820""",23,2805,2020,117.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",29,1598,2020,159.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",3,4398,2020,35.6,0.2,0
"""Haematopus palliatus Temminck, 1820""",27,1375,2020,4.2,0.2,0
"""Haematopus palliatus Temminck, 1820""",8,1833,2013,81,0.2,0
"""Haematopus palliatus Temminck, 1820""",14,2158,2020,27.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",10,1485,2020,34.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",27,1492,2011,194.2,0.2,0
"""Haematopus palliatus Temminck, 1820""",2,1507,2010,76.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",17,1367,2008,189,0.2,0
"""Haematopus palliatus Temminck, 1820""",20,3816,2007,144.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",28,1596,2021,88.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",25,1601,2021,196.7,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,1826,2021,188.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,1825,2021,157.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",28,1710,2014,107.2,0.2,0
"""Haematopus palliatus Temminck, 1820""",27,1037,2020,74.2,0.2,0
"""Haematopus palliatus Temminck, 1820""",27,1490,2020,176.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",9,2158,2020,32.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",20,3703,2019,19.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",7,1373,2021,24.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",8,2066,2021,42.6,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,1938,2019,199.2,0.2,0
"""Haematopus palliatus Temminck, 1820""",3,4284,2019,52,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,2052,2019,12.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",20,4042,2021,45.7,0.2,0
"""Haematopus palliatus Temminck, 1820""",24,1486,2021,86.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",24,1373,2021,24.9,0.2,0
"""Haematopus palliatus Temminck, 1820""",1,1254,2021,78.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,2161,2013,60.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",27,1489,2021,64.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",17,1479,2021,52.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",5,1485,2021,78.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",5,1373,2021,21,0.2,0
"""Haematopus palliatus Temminck, 1820""",21,1930,2021,79.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",1,1255,2021,26.7,0.2,0
"""Haematopus palliatus Temminck, 1820""",21,2044,2021,139,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,2053,2021,45.7,0.2,0
"""Haematopus palliatus Temminck, 1820""",8,2065,2021,70.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",5,1372,2021,19.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",27,1488,2021,22.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",1,1368,2021,115,0.2,0
"""Haematopus palliatus Temminck, 1820""",8,1946,2020,48.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",14,2045,2021,40.9,0.2,0
"""Haematopus palliatus Temminck, 1820""",4,1706,2021,107.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",20,3702,2013,111.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",7,1147,2012,58.9,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,1939,2021,167.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",1,1594,2021,96,0.2,0
"""Haematopus palliatus Temminck, 1820""",29,1712,2018,129.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",14,2275,2017,51.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",11,1597,2016,27.6,0.2,0
"""Haematopus palliatus Temminck, 1820""",5,1486,2016,26.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",33,1359,2019,197.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",8,1722,2019,120,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,2277,2021,3.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",27,1377,2021,54.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",1,1480,2021,55.6,0.2,0
"""Haematopus palliatus Temminck, 1820""",7,1487,2021,7.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",21,2157,2021,25.6,0.2,0
"""Haematopus palliatus Temminck, 1820""",32,3589,2018,42,0.2,0
"""Haematopus palliatus Temminck, 1820""",28,1823,2018,178.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",10,1598,2021,18,0.2,0
"""Haematopus palliatus Temminck, 1820""",4,1932,2020,200.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",14,2160,2015,119.1,0.2,0
"""Haematopus palliatus Temminck, 1820""",25,1488,2021,61.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",4,1931,2020,43,0.2,0
"""Haematopus palliatus Temminck, 1820""",21,2158,2021,1.5,0.2,0
"""Haematopus palliatus Temminck, 1820""",19,3142,2019,7.4,0.2,0
"""Haematopus palliatus Temminck, 1820""",7,1033,2016,95.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",21,1818,2021,39.3,0.2,0
"""Haematopus palliatus Temminck, 1820""",11,1484,2019,32,0.2,0
"""Haematopus palliatus Temminck, 1820""",1,1481,2016,16,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,2051,2019,39.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",4,1819,2021,52.8,0.2,0
"""Haematopus palliatus Temminck, 1820""",32,3588,2019,19.2,0.2,0
"""Haematopus palliatus Temminck, 1820""",6,2163,2019,46.9,0.2,0
"""Haematopus palliatus Temminck, 1820""",29,1599,2014,124.4,0.2,0
"""Hydrurga leptonyx (de Blainville, 1820)""",34,3490,2009,36.6,0.2,0
"""Hydrurga leptonyx (de Blainville, 1820)""",23,1902,2007,15.6,0.2,0
"""Hydrurga leptonyx (de Blainville, 1820)""",34,3603,2013,43.7,0.2,0
"""Hydrurga leptonyx (de Blainville, 1820)""",34,3604,2007,22.3,0.2,0
"""Hydrurga leptonyx (de Blainville, 1820)""",3,3379,2006,109.6,0.2,0
"""Hydrurga leptonyx (de Blainville, 1820)""",34,2923,2003,120.2,0.2,0
"""Lagenorhynchus australis (Peale, 1848)""",27,1604,2014,200.9,0,0
"""Lagenorhynchus australis (Peale, 1848)""",21,1930,2013,79.4,0,0
"""Lagenorhynchus australis (Peale, 1848)""",36,1188,2014,46.9,0,0
"""Lagenorhynchus australis (Peale, 1848)""",18,968,2014,55.4,0,0
"""Lagenorhynchus australis (Peale, 1848)""",2,1052,2001,78.7,0,0
"""Lagenorhynchus australis (Peale, 1848)""",3,4518,2012,215.3,0,0
"""Lagenorhynchus australis (Peale, 1848)""",23,2806,2012,136.6,0,0
"""Lagenorhynchus australis (Peale, 1848)""",8,935,2002,150.1,0,0
"""Lagenorhynchus australis (Peale, 1848)""",8,1386,2002,107.5,0,0
"""Lagenorhynchus australis (Peale, 1848)""",2,1504,2001,143,0,0
"""Lagenorhynchus australis (Peale, 1848)""",19,3030,2016,209.8,0,0
"""Lagenorhynchus australis (Peale, 1848)""",23,2915,2016,216,0,0
