rgn_id;rgn_name;año;area_km2;%
1;Ancud;2020;55,9;8,9
2;Aysen;2020;123,6;1,4
3;Cabo de Hornos;2020;1699,4;16,0
4;Calbuco;2020;54,4;7,7
5;Castro;2020;210,8;86,6
6;Chaiten;2020;39,0;2,3
7;Chonchi;2020;4,2;1,7
8;Cisnes;2020;404,6;5,7
9;Cochamo;2020;2,9;1,9
10;Curaco de Velez;2020;17,8;22,1
11;Dalcahue;2020;12,0;5,5
12;Fresia;2020;5,7;5,0
13;Guaitecas;2020;54,4;3,7
14;Hualaihue;2020;38,9;6,7
15;Laguna Blanca;2020;10,1;11,9
16;Los Muermos;2020;33,0;24,1
17;Maullin;2020;124,3;34,6
18;Natales;2020;35,1;0,2
19;Porvenir;2020;6,3;0,9
20;Primavera;2020;205,5;25,6
21;Puerto Montt;2020;60,7;17,4
22;Puerto Varas;2020;3,5;41,6
23;Punta Arenas;2020;4,5;0,0
24;Puqueldon;2020;33,1;23,0
25;Purranque;2020;47,1;32,0
26;Queilen;2020;40,0;11,2
27;Quellon;2020;63,9;3,8
28;Quemchi;2020;75,2;12,6
29;Quinchao;2020;145,8;22,1
30;Rio Negro;2020;10,3;10,4
31;Rio Verde;2020;20,3;0,6
32;San Gregorio;2020;28,9;3,9
33;San Juan de la Costa;2020;0,0;0,0
34;Timaukel;2020;674,9;36,1
35;Torres del Paine;2020;36,9;25,2
36;Tortel;2020;556,0;8,6
1;Ancud;2021;65,4;10,4
2;Aysen;2021;123,6;1,4
3;Cabo de Hornos;2021;1699,4;16,0
4;Calbuco;2021;54,4;7,7
5;Castro;2021;211,2;86,8
6;Chaiten;2021;52,8;3,1
7;Chonchi;2021;4,2;1,7
8;Cisnes;2021;404,6;5,7
9;Cochamo;2021;2,9;1,9
10;Curaco de Velez;2021;18,1;22,4
11;Dalcahue;2021;12,1;5,6
12;Fresia;2021;5,8;5,0
13;Guaitecas;2021;54,4;3,7
14;Hualaihue;2021;38,9;6,7
15;Laguna Blanca;2021;10,1;11,9
16;Los Muermos;2021;34,3;25,0
17;Maullin;2021;124,3;34,6
18;Natales;2021;35,1;0,2
19;Porvenir;2021;6,3;0,9
20;Primavera;2021;205,5;25,6
21;Puerto Montt;2021;60,7;17,4
22;Puerto Varas;2021;3,5;41,6
23;Punta Arenas;2021;4,5;0,0
24;Puqueldon;2021;33,1;23,0
25;Purranque;2021;47,1;32,0
26;Queilen;2021;40,0;11,2
27;Quellon;2021;64,0;3,8
28;Quemchi;2021;77,4;12,9
29;Quinchao;2021;145,8;22,1
30;Rio Negro;2021;10,3;10,4
31;Rio Verde;2021;20,3;0,6
32;San Gregorio;2021;28,9;3,9
33;San Juan de la Costa;2021;0,0;0,0
34;Timaukel;2021;674,9;36,1
35;Torres del Paine;2021;36,9;25,2
36;Tortel;2021;556,0;8,6
