"rgn_id","habitat","year","km2"
32,"Macrocystis",2019,4125000
33,"Playas",2019,145.345542390635
33,"Marismas",2019,54.9629138013754
33,"Tepu",2019,NA
33,"Macrocystis",2019,81243000
34,"Playas",2019,NA
34,"Marismas",2019,8496.67933220682
34,"Tepu",2019,NA
34,"Macrocystis",2019,1287000
35,"Playas",2019,NA
35,"Marismas",2019,168.45086
35,"Tepu",2019,NA
35,"Macrocystis",2019,224775000
36,"Playas",2019,598.6
36,"Marismas",2019,8766.1235940594
36,"Tepu",2019,64552.1523030303
36,"Macrocystis",2019,NA
1,"Playas",2020,401.386182850547
1,"Marismas",2020,334.417127233584
1,"Tepu",2020,739.705529127192
1,"Macrocystis",2020,8783146.8
2,"Playas",2020,1150.7
2,"Marismas",2020,6411.10235643565
2,"Tepu",2020,152966.263878788
2,"Macrocystis",2020,255736016.649922
3,"Playas",2020,100
3,"Marismas",2020,310961.504499244
3,"Tepu",2020,NA
3,"Macrocystis",2020,1306027913.4
4,"Playas",2020,455.828594059406
4,"Marismas",2020,507.260928909953
4,"Tepu",2020,245.130196078431
4,"Macrocystis",2020,5005206
5,"Playas",2020,52.7049315068493
5,"Marismas",2020,352.934068360277
5,"Tepu",2020,55.2964718248176
5,"Macrocystis",2020,8067484.33
6,"Playas",2020,2162.86343256109
6,"Marismas",2020,3497.90371700485
6,"Tepu",2020,7315.7582161817
6,"Macrocystis",2020,23663030.4
7,"Playas",2020,1078.6318023375
7,"Marismas",2020,222.995808972933
7,"Tepu",2020,485.512153304885
7,"Macrocystis",2020,2610059.4
8,"Playas",2020,562.8
8,"Marismas",2020,1805.54631683168
8,"Tepu",2020,20087.9731919192
8,"Macrocystis",2020,176542381.8
9,"Playas",2020,273.6
9,"Marismas",2020,2.7
9,"Tepu",2020,0.05
9,"Macrocystis",2020,1215954
10,"Playas",2020,68.5
10,"Marismas",2020,NA
10,"Tepu",2020,NA
10,"Macrocystis",2020,2329873.93568075
11,"Playas",2020,21.6090909090909
11,"Marismas",2020,66.331081568274
11,"Tepu",2020,595.387101497504
11,"Macrocystis",2020,3867013.11056338
12,"Playas",2020,110
12,"Marismas",2020,3.2
12,"Tepu",2020,414.755721968396
12,"Macrocystis",2020,588182.4
13,"Playas",2020,NA
13,"Marismas",2020,22338.3497029703
13,"Tepu",2020,3527.53696161616
13,"Macrocystis",2020,33096571.2
14,"Playas",2020,607.472853333334
14,"Marismas",2020,540.788493637171
14,"Tepu",2020,197.758493776435
14,"Macrocystis",2020,5731314.49984351
15,"Playas",2020,78.08
15,"Marismas",2020,355.87
15,"Tepu",2020,NA
15,"Macrocystis",2020,2225478.6
16,"Playas",2020,160.153956685307
16,"Marismas",2020,864.555109170306
16,"Tepu",2020,481.9
16,"Macrocystis",2020,7782105.6
17,"Playas",2020,675.21408356546
17,"Marismas",2020,1603.47379913957
17,"Tepu",2020,1259.46644631579
17,"Macrocystis",2020,1270440050.4
18,"Playas",2020,NA
18,"Marismas",2020,716187.555035512
18,"Tepu",2020,2079380.71523749
18,"Macrocystis",2020,19048060.8
19,"Playas",2020,683.97
19,"Marismas",2020,97.7
19,"Tepu",2020,NA
19,"Macrocystis",2020,5027828.4
20,"Playas",2020,683.97
20,"Marismas",2020,2650.43969441724
20,"Tepu",2020,NA
20,"Macrocystis",2020,5027828.4
21,"Playas",2020,291.562506024096
21,"Marismas",2020,1406.20497076023
21,"Tepu",2020,157.10187755102
21,"Macrocystis",2020,11311.2
22,"Playas",2020,NA
22,"Marismas",2020,NA
22,"Tepu",2020,NA
22,"Macrocystis",2020,994155.507
23,"Playas",2020,186.993087706422
23,"Marismas",2020,2842.05640279441
23,"Tepu",2020,2658
23,"Macrocystis",2020,1433694.6
24,"Playas",2020,271.84
24,"Marismas",2020,64.04
24,"Tepu",2020,64.08
24,"Macrocystis",2020,3430121.4
25,"Playas",2020,9.04
25,"Marismas",2020,162.313080168776
25,"Tepu",2020,213
25,"Macrocystis",2020,8930192.4
26,"Playas",2020,154.195600963855
26,"Marismas",2020,114.103177857143
26,"Tepu",2020,283.57949799701
26,"Macrocystis",2020,57230357.0738654
27,"Playas",2020,870.432069565218
27,"Marismas",2020,846.833504624871
27,"Tepu",2020,11815.1549754386
27,"Macrocystis",2020,4358955.35649452
28,"Playas",2020,NA
28,"Marismas",2020,284.155822307692
28,"Tepu",2020,362.107985954198
28,"Macrocystis",2020,4714225.99937402
29,"Playas",2020,68.47
29,"Marismas",2020,68.46
29,"Tepu",2020,202
29,"Macrocystis",2020,1852209
30,"Playas",2020,NA
30,"Marismas",2020,NA
30,"Tepu",2020,5155.37782857143
30,"Macrocystis",2020,118677110.4
31,"Playas",2020,NA
31,"Marismas",2020,57374.706540874
31,"Tepu",2020,NA
31,"Macrocystis",2020,7159989.6
32,"Playas",2020,NA
32,"Marismas",2020,16.2
32,"Tepu",2020,NA
32,"Macrocystis",2020,4470121.3084507
33,"Playas",2020,142.923477017868
33,"Marismas",2020,53.8819014872861
33,"Tepu",2020,NA
33,"Macrocystis",2020,76579651.8
34,"Playas",2020,NA
34,"Marismas",2020,8865.06209395066
34,"Tepu",2020,NA
34,"Macrocystis",2020,1213126.2
35,"Playas",2020,NA
35,"Marismas",2020,163.94384
35,"Tepu",2020,NA
35,"Macrocystis",2020,211872915
36,"Playas",2020,598.6
36,"Marismas",2020,8757.47082178218
36,"Tepu",2020,64617.5480606061
36,"Macrocystis",2020,NA
1,"Playas",2021,415.175847346401
1,"Marismas",2021,329.769268137783
1,"Tepu",2021,776.357470268091
1,"Macrocystis",2021,10987700.139141
2,"Playas",2021,1150.7
2,"Marismas",2021,6404.7679009901
2,"Tepu",2021,153121.072363636
2,"Macrocystis",2021,319543208.564323
3,"Playas",2021,100
3,"Marismas",2021,309160.192561649
3,"Tepu",2021,NA
3,"Macrocystis",2021,1631883069.37404
4,"Playas",2021,462.307168316832
4,"Marismas",2021,491.543545023697
4,"Tepu",2021,243.896470588235
4,"Macrocystis",2021,6254009.4636
5,"Playas",2021,51.0805479452054
5,"Marismas",2021,386.225826905312
5,"Tepu",2021,53.6460308029198
5,"Macrocystis",2021,11751545.7402321
6,"Playas",2021,2236.28386163123
6,"Marismas",2021,3795.91668163046
6,"Tepu",2021,7118.47799320441
6,"Macrocystis",2021,29570073.8502689
7,"Playas",2021,1152.49827762969
7,"Marismas",2021,217.157785094549
7,"Tepu",2021,474.432422467996
7,"Macrocystis",2021,3261271.60164
8,"Playas",2021,562.8
8,"Marismas",2021,1803.76235643564
8,"Tepu",2021,20108.3030909091
8,"Macrocystis",2021,220589867.13108
9,"Playas",2021,273.6
9,"Marismas",2021,2.7
9,"Tepu",2021,0.05
9,"Macrocystis",2021,1519335.6324
10,"Playas",2021,68.5
10,"Marismas",2021,NA
10,"Tepu",2021,NA
10,"Macrocystis",2021,3075846.76594031
11,"Playas",2021,21.5602272727273
11,"Marismas",2021,66.3012167643082
11,"Tepu",2021,594.685489184692
11,"Macrocystis",2021,5144095.6469451
12,"Playas",2021,110
12,"Marismas",2021,3.2
12,"Tepu",2021,423.646437214446
12,"Macrocystis",2021,734934.44544
13,"Playas",2021,NA
13,"Marismas",2021,22316.2784158416
13,"Tepu",2021,3531.10698181818
13,"Macrocystis",2021,41354195.91072
14,"Playas",2021,608.40696
14,"Marismas",2021,523.912055341817
14,"Tepu",2021,201.790805498489
14,"Macrocystis",2021,7168965.42447339
15,"Playas",2021,78.08
15,"Marismas",2021,355.87
15,"Tepu",2021,NA
15,"Macrocystis",2021,2780737.54116
16,"Playas",2021,155.585701270971
16,"Marismas",2021,961.174497816594
16,"Tepu",2021,481.9
16,"Macrocystis",2021,9723748.04736
17,"Playas",2021,669.865844011142
17,"Marismas",2021,1554.03302403202
17,"Tepu",2021,1224.52475210526
17,"Macrocystis",2021,1587416850.27408
18,"Playas",2021,NA
18,"Marismas",2021,713859.499414951
18,"Tepu",2021,2336399.15464218
18,"Macrocystis",2021,23800569.34848
19,"Playas",2021,683.97
19,"Marismas",2021,97.7
19,"Tepu",2021,NA
19,"Macrocystis",2021,6282276.17304
20,"Playas",2021,683.97
20,"Marismas",2021,2790.30715621939
20,"Tepu",2021,NA
20,"Macrocystis",2021,6282276.17304
21,"Playas",2021,286.507819277108
21,"Marismas",2021,1564.88059210526
21,"Tepu",2021,152.239612244898
21,"Macrocystis",2021,15007.8429575587
22,"Playas",2021,NA
22,"Marismas",2021,NA
22,"Tepu",2021,NA
22,"Macrocystis",2021,1242198.2130342
23,"Playas",2021,183.117223669725
23,"Marismas",2021,2817.26845314371
23,"Tepu",2021,2658
23,"Macrocystis",2021,1791402.71076
24,"Playas",2021,271.84
24,"Marismas",2021,64.04
24,"Tepu",2021,64.08
24,"Macrocystis",2021,4285939.81884
25,"Playas",2021,9.04
25,"Marismas",2021,158.902215189873
25,"Tepu",2021,213
25,"Macrocystis",2021,11158283.55144
26,"Playas",2021,163.095051084337
26,"Marismas",2021,114.366075089286
26,"Tepu",2021,277.214435246637
26,"Macrocystis",2021,82896101.8775606
27,"Playas",2021,849.86107826087
27,"Marismas",2021,831.06269270298
27,"Tepu",2021,12009.5493473684
27,"Macrocystis",2021,6432495.68195539
28,"Playas",2021,NA
28,"Marismas",2021,306.675300096154
28,"Tepu",2021,358.246484198473
28,"Macrocystis",2021,5897009.16226804
29,"Playas",2021,68.47
29,"Marismas",2021,68.46
29,"Tepu",2021,202
29,"Macrocystis",2021,2314336.8354
30,"Playas",2021,NA
30,"Marismas",2021,NA
30,"Tepu",2021,5799.71255714286
30,"Macrocystis",2021,148287157.72224
31,"Playas",2021,NA
31,"Marismas",2021,57232.9198584833
31,"Tepu",2021,NA
31,"Macrocystis",2021,8946413.53776
32,"Playas",2021,NA
32,"Marismas",2021,16.2
32,"Tepu",2021,NA
32,"Macrocystis",2021,6957986.17628346
33,"Playas",2021,140.501411645102
33,"Marismas",2021,52.8008891731969
33,"Tepu",2021,NA
33,"Macrocystis",2021,95686344.79308
34,"Playas",2021,NA
34,"Marismas",2021,9233.44485569449
34,"Tepu",2021,NA
34,"Macrocystis",2021,1515802.29372
35,"Playas",2021,NA
35,"Marismas",2021,159.43682
35,"Tepu",2021,NA
35,"Macrocystis",2021,264735400.599
36,"Playas",2021,598.6
36,"Marismas",2021,8748.81804950495
36,"Tepu",2021,64682.9438181818
36,"Macrocystis",2021,NA
